timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.63608E+12,412,Get HTTP Request,200,,GET Product Group 7-16,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,412,0,0
1.63608E+12,509,Post HTTP Request,200,,POST Owner Group 2-2,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,509,0,0
1.63608E+12,344,Get HTTP Request,200,,GET Bill Group 12-13,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,344,0,0
1.63608E+12,511,Get HTTP Request,200,,GET CustomerOrder Group 9-3,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,481,0,0
1.63608E+12,416,Post HTTP Request,200,,POST Customer Group 6-16,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,416,0,0
1.63608E+12,1281,Get HTTP Request,200,,GET OrderItem Group 11-19,text,TRUE,,11522,143,20,260,https://ice-factory-api.herokuapp.com/orderItem,1281,0,797
1.63608E+12,419,Get HTTP Request,200,,GET Product Group 7-8,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,419,0,0
1.63608E+12,422,Get HTTP Request,200,,GET Product Group 7-13,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,422,0,0
1.63608E+12,421,Get HTTP Request,200,,GET Customer Group 5-13,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,421,0,0
1.63608E+12,505,Get HTTP Request,200,,GET CustomerOrder Group 9-12,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,491,0,0
1.63608E+12,427,Post HTTP Request,200,,POST Owner Group 2-13,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,427,0,0
1.63608E+12,443,Get HTTP Request,200,,GET Bill Group 12-1,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,443,0,0
1.63608E+12,427,Post HTTP Request,200,,POST Bill Group 13-16,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,427,0,0
1.63608E+12,429,Get HTTP Request,200,,GET Customer Group 5-12,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,429,0,0
1.63608E+12,419,Post HTTP Request,200,,POST Staff Group 4-1,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,419,0,0
1.63608E+12,1310,Get HTTP Request,200,,GET CustomerOrder Group 9-19,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,1296,0,805
1.63608E+12,1231,Get HTTP Request,200,,GET Owner Group 1-20,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,1231,0,797
1.63608E+12,431,Post HTTP Request,200,,POST Staff Group 4-10,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,431,0,0
1.63608E+12,450,Get HTTP Request,200,,GET Bill Group 12-16,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,450,0,0
1.63608E+12,438,Get HTTP Request,200,,GET Customer Group 5-1,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,438,0,0
1.63608E+12,431,Post HTTP Request,200,,POST Bill Group 13-17,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,431,0,0
1.63608E+12,434,Post HTTP Request,200,,POST Staff Group 4-13,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,434,0,0
1.63608E+12,1223,Post HTTP Request,200,,POST Customer Group 6-20,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,1223,0,793
1.63608E+12,433,Post HTTP Request,200,,POST CustomerOrder Group 10-16,text,TRUE,,1145,1164,20,260,https://ice-factory-api.herokuapp.com/customerOrder,433,0,0
1.63608E+12,1225,Get HTTP Request,200,,GET Customer Group 5-20,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,1225,0,795
1.63608E+12,444,Get HTTP Request,200,,GET Product Group 7-17,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,444,0,0
1.63608E+12,1234,Post HTTP Request,200,,POST Owner Group 2-20,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,1234,0,798
1.63608E+12,462,Get HTTP Request,200,,GET OrderItem Group 11-6,text,TRUE,,11522,143,20,260,https://ice-factory-api.herokuapp.com/orderItem,462,0,0
1.63608E+12,429,Post HTTP Request,200,,POST Product Group 8-12,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,429,0,0
1.63608E+12,459,Get HTTP Request,200,,GET Bill Group 12-8,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,459,0,0
1.63608E+12,436,Post HTTP Request,200,,POST Staff Group 4-7,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,436,0,0
1.63608E+12,430,Get HTTP Request,200,,GET Owner Group 1-7,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,430,0,0
1.63608E+12,437,Get HTTP Request,200,,GET Staff Group 3-5,text,TRUE,,876,139,20,260,https://ice-factory-api.herokuapp.com/staff,437,0,0
1.63608E+12,430,Get HTTP Request,200,,GET Owner Group 1-4,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,430,0,0
1.63608E+12,1236,Get HTTP Request,200,,GET Staff Group 3-20,text,TRUE,,876,139,20,260,https://ice-factory-api.herokuapp.com/staff,1236,0,805
1.63608E+12,1227,Post HTTP Request,200,,POST Product Group 8-20,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,1227,0,794
1.63608E+12,1238,Post HTTP Request,200,,POST Staff Group 4-20,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,1238,0,804
1.63608E+12,299,Get HTTP Request,200,,GET Bill Group 12-14,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,299,0,0
1.63608E+12,430,Post HTTP Request,200,,POST Product Group 8-13,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,430,0,0
1.63608E+12,436,Post HTTP Request,200,,POST CustomerOrder Group 10-2,text,TRUE,,1145,1164,20,260,https://ice-factory-api.herokuapp.com/customerOrder,436,0,0
